"","GEOID20","autom_netw_dens_raw","pedest_netw_dens_raw","street_no_autom_inters_dens_raw","autom_inters_dens_raw","NatWalkInd_raw","aadt_esri_point_raw","aadt_fhwa_segm_raw","barrier_factor_osm_raw","barrier_factor_faf5_raw","motorw_scale_pr_raw_raw","trunk_pr_raw_raw","prima_scale_pr_raw_raw","seconda_scale_pr_raw_raw","tertia_scale_pr_raw_raw","residential_pr_raw_raw","interstate_highw_scale_pr_raw_raw","freew_scales__rawpressw_scales_pr_raw_raw","other_princ_arter_pr_raw_raw","co2_emis_per_m2_raw","autom_netw_dens_scale","pedest_netw_dens_scale","street_no_autom_inters_dens_scale","autom_inters_dens_scale","NatWalkInd_scale","aadt_esri_point_scale","aadt_fhwa_segm_scale","barrier_factor_osm_scale","barrier_factor_faf5_scale","motorw_scale_pr_raw_scale","trunk_pr_raw_scale","prima_scale_pr_raw_scale","seconda_scale_pr_raw_scale","tertia_scale_pr_raw_scale","residential_pr_raw_scale","interstate_highw_scale_pr_raw_scale","freew_scales__rawpressw_scales_pr_raw_scale","other_princ_arter_pr_raw_scale","co2_emis_per_m2_scale","csi","csi_normal","csi_100","Shape"
"11","090091406002",0,8.30674172019332,100.685471874207,0,13.6666666666667,4555.91796793116,4808.51714370063,100,37.5,0.791235389854514,0.922939741168165,0.918687941029319,0.995901930582066,0.647353549186597,0.926762991998587,0.735423934827449,0.923251186106283,0.91941930474436,0.468908317538707,-0.363210087383768,-1.01995718188556,-0.00176188381671492,-0.335036564097924,-0.0504064271779788,-0.920509459399543,-0.436404488826661,0.245007877483276,0.284775553792919,0.445242155254941,1.16964143416789,0.322871181654564,1.01148124575319,-1.23577251897534,0.231235685825117,0.159094056527223,1.22562540624895,0.305447584464617,-0.386951187412097,-0.233011974554209,0.0688810848200093,6.88810848200093,c(948595.68728155, 670368.727811354)
"12","090091406003",0,18.300910994431,152.399730282595,0,15.8333333333333,5510.46923136494,5542.94916262903,100,37.5,0.698210060264636,0.868851230415754,0.977564653740978,0.901772789820905,0.732553362650501,0.925681444930245,0.719972638755229,0.844165521239517,0.978151332510177,0.548598230532271,-0.363210087383768,0.826197535971345,0.754530718283241,-0.335036564097924,1.05934797762753,-0.754125088052362,-0.391306815043234,0.245007877483276,0.284775553792919,-0.018368353334013,0.93111055593738,0.771762317784927,0.553412157109529,-0.658664168350584,0.223957823212649,0.0959648674155759,0.807481763955911,0.746305437822529,-0.379760543048216,-0.348734922590761,0.04522792394242,4.522792394242,c(947482.672892418, 669553.936375158)
"13","090091406004",0,14.8026626100744,96.0640292681444,0,14.1666666666667,6449.74251536933,7676.55801932693,100,37.5,0.656659922075627,0.964751166150368,0.838205882171893,0.931858798603597,0.617163128537366,0.942753508294421,0.638619122437757,0.841314132903676,0.936789367065322,2.36036048423332,-0.363210087383768,0.179989974161974,-0.069347941541713,-0.335036564097924,0.205690743161753,-0.590403765930711,-0.260292924416313,0.245007877483276,0.284775553792919,-0.225441854526359,1.35403024026252,-0.290744646653499,0.69982240278447,-1.44026996042722,0.33883782734072,-0.236420292541124,0.792405834502078,0.435831783321946,-0.216280153261379,-0.569768627681653,4.97991660523529e-05,0.00497991660523529,c(946856.094329127, 671422.796798754)
"14","090091406005",0,15.6367448991333,92.6872024954778,0,12.6666666666667,7508.91204943941,4664.60408089072,100,28.5714285714286,0.675653604869119,0.896070268264459,0.938008189873927,0.94122040662805,0.645200405198722,0.997848072224342,0.688654386456885,0.838034410756665,0.938329374723192,0.399522517891565,-0.363210087383768,0.334064305982273,-0.118732176863679,-0.335036564097924,-0.562600767857443,-0.405783762975194,-0.445241446084114,0.245007877483276,-0.0249768614169204,-0.130783002161204,1.0511467875201,0.470173706791295,0.745379636403346,-1.2503570271448,0.709575892019218,-0.0319917688916598,0.775065208149999,0.4473914807482,-0.393212062727726,-0.568324253137791,0.000345021712946592,0.0345021712946592,c(947072.716207793, 670074.33549303)
"15","090091407001",0,11.9694953698285,105.004287307369,0,14.1666666666667,6293.30751113251,4822.81526755098,100,9.09090909090909,0.593794769128513,0.921872047726964,0.88414462327099,0.964969268887219,0.84399025912907,0.886723581556886,0.653346187819797,0.797904585158936,0.884903060738631,0.878276472245891,-0.363210087383768,-0.343361684543699,0.0613984178575587,-0.335036564097924,0.205690743161753,-0.617671384584325,-0.435526514952293,0.245007877483276,-0.700800312783844,-0.538743034525672,1.16493289531799,0.0595040804682582,0.860950856998938,0.0961633472370557,-0.0381944081657466,-0.176250084733515,0.562889822531277,0.0463596929479491,-0.350012750616023,-0.566558844572985,0.000705861922313152,0.0705861922313152,c(947356.875580112, 674337.333215607)
"16","090091407002",0,15.6438417384696,91.0903254187789,0,15.3333333333333,6949.4008229179,7353.82652476202,100,30,0.548982072698086,0.8740670197929,0.951779934084152,0.910770038890758,0.782627769801029,0.975232447141464,0.655142788809475,0.759592281816312,0.95252841515195,0.681767163514983,-0.363210087383768,0.335375256703939,-0.142085626313406,-0.335036564097924,0.803250807287794,-0.503310137149785,-0.280110197201836,0.245007877483276,0.0245835250166539,-0.762076153311134,0.954112239723629,0.575173011614926,0.597196278035319,-0.319480814018512,0.557392582511848,-0.168909731982169,0.360324084589902,0.553973165755301,-0.367744336712623,-0.0976295385918476,0.0965525414511193,9.65525414511193,c(947466.695697835, 675285.293075735)
"17","090091407003",0,5.94909852910465,190.542007033051,0,16,8138.68922134833,7686.88111653535,100,20,0.712193913244689,0.985685259993031,0.842534952130478,0.993914075966633,0.930069666177192,0.672153516007124,0.701586057962056,0.889730121558393,0.968148185982677,2.14027773730047,-0.363210087383768,-1.45546852663247,1.31234054910042,-0.335036564097924,1.1447137010741,-0.296009586510402,-0.259659036379924,0.245007877483276,-0.322339180018367,0.0513230008455141,1.44634980535662,-0.257738708607775,1.0018075703676,0.679229701547152,-1.48206264425965,0.0208430180520333,1.04839202207992,0.671219222129073,-0.23613883680578,0.135703943537525,0.144244675851211,14.4244675851211,c(948399.636032782, 673117.971209984)
"18","090091407004",0,2.07911907160519,0,0,10,6727.45187993163,4070.64602936419,100,20,0.683718844071695,0.944078039694816,0.900275931965306,0.966117971767089,0.901405980904287,0.855751228405992,0.719654912755153,0.862113240888626,0.906672009933625,0.461020663548276,-0.363210087383768,-2.17034343393355,-1.47423156357248,-0.335036564097924,-1.92845234300268,-0.541997253038249,-0.481713339681382,0.245007877483276,-0.322339180018367,-0.0905882545039513,1.26286154397902,0.182493309206693,0.866540892954322,0.485073735024037,-0.246611163769933,0.0946667378185022,0.902375381877386,0.209763079090668,-0.387662912554966,-0.56879021269418,0.000249782034587925,0.0249782034587925,c(948638.114121958, 673915.738013334)
"19","090091407005",0,13.609251550773,188.844370915124,0,18,6589.51853239549,6334.40237610933,100,27.2727272727273,0.645008584091472,0.897857747981897,0.962139332440213,0.8805682508996,0.936192718966476,0.999153974687992,0.725208763551848,0.818764123436214,0.963048117042429,0.436508754433185,-0.363210087383768,-0.0404607103337551,1.28751355405958,-0.335036564097924,2.16910238243303,-0.56603991496408,-0.342707764461998,0.245007877483276,-0.0700317581747153,-0.283508649370198,1.05902959111163,0.65415571773938,0.450222605603512,0.720704732446236,0.718363469549527,0.117358044463828,0.673178878411463,0.632936780154819,-0.389874690865485,-0.474225414568973,0.0195783285447043,1.95783285447043,c(948758.549157989, 674819.098438609)
"20","090091408001",0,12.2640292928555,153.908870089465,0,13.5,9370.31058841931,11296.0033247131,100,27.2727272727273,0.631751453594214,0.984423561514878,0.791617543782132,0.97955045999228,0.7902569440992,1,0.634326089305204,0.83002276675313,0.965904902968117,2.37953724326941,-0.363210087383768,-0.2889544420161,0.776601058390555,-0.335036564097924,-0.135772150624557,-0.0813301295258722,-0.03804149820885,0.245007877483276,-0.0700317581747153,-0.349578235356731,1.44078570233604,-0.645946069882153,0.93190861637955,-0.267803938015592,0.724056477433965,-0.253960290430023,0.732705849977607,0.654380557232016,-0.214549780506529,-0.428252583381899,0.0289749330256292,2.89749330256292,c(947094.886007588, 673091.78381146)
